V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_1015	B3EX21	2.66e-46	ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)	Sorex araneus (Eurasian common shrew) (European shrew)		GO:0005743; GO:0045259; GO:0046933
Ab_contig_1016	P0DMQ6	4.14e-25	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Polyol dehydrogenase)	Gallus gallus (Chicken)	fructose biosynthetic process [GO:0046370]; fructose metabolic process [GO:0006000]; NADH oxidation [GO:0006116]; NADH regeneration [GO:0006735]; sorbitol biosynthetic process [GO:0006061]; sorbitol catabolic process [GO:0006062]	GO:0003939; GO:0006000; GO:0006061; GO:0006062; GO:0006116; GO:0006735; GO:0008270; GO:0031514; GO:0031966; GO:0032991; GO:0046370; GO:0051287
Ab_contig_1021	P09849	1.6e-27	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1021	P09849	6.46e-27	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1021	P09849	2.57e-24	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1022	P61166	1.57e-36	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258 (Oligosaccharyl transferase subunit TMEM258) (Transmembrane protein 258)	Mus musculus (Mouse)	epithelial cell apoptotic process [GO:1904019]; inflammatory response [GO:0006954]; protein N-linked glycosylation [GO:0006487]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	GO:0005737; GO:0005783; GO:0005789; GO:0006487; GO:0006954; GO:0008250; GO:0009306; GO:0016020; GO:0034976; GO:0062062; GO:1904019
Ab_contig_1033	O48766	5.58e-50	Endoglucanase 11 (EC 3.2.1.4) (Endo-1,4-beta glucanase 11)	Arabidopsis thaliana (Mouse-ear cress)	cell wall organization [GO:0071555]; cellulose catabolic process [GO:0030245]	GO:0005576; GO:0008810; GO:0030245; GO:0071555
Ab_contig_1038	Q9R1T3	1.16e-82	Cathepsin Z (EC 3.4.18.1) (Cathepsin Y)	Rattus norvegicus (Rat)	epithelial tube branching involved in lung morphogenesis [GO:0060441]; negative regulation of plasminogen activation [GO:0010757]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]	GO:0004180; GO:0004197; GO:0005615; GO:0005764; GO:0005938; GO:0006508; GO:0009986; GO:0010757; GO:0016807; GO:0030426; GO:0031410; GO:0051603; GO:0060441
Ab_contig_1052	O43827	3.18e-24	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	Homo sapiens (Human)	blood coagulation [GO:0007596]; negative regulation of vasculature development involved in avascular cornea development in camera-type eye [GO:1901346]; regulation of extracellular matrix organization [GO:1903053]; response to oxidative stress [GO:0006979]	GO:0005576; GO:0005615; GO:0006979; GO:0007596; GO:0042802; GO:0062023; GO:1901346; GO:1903053
Ab_contig_1056	Q9D172	5.45e-24	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	Mus musculus (Mouse)		GO:0005739
Ab_contig_1058	Q5R546	0	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	lipid metabolic process [GO:0006629]; negative regulation of endothelial cell proliferation [GO:0001937]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0001937; GO:0005524; GO:0005743; GO:0005886; GO:0006629; GO:0008180; GO:0042288; GO:0042776; GO:0043531; GO:0043532; GO:0043536; GO:0045259; GO:0045261; GO:0046933
Ab_contig_1073	A1DPK7	4.76e-58	Actin-related protein 2/3 complex subunit 3-A	Xenopus laevis (African clawed frog)	Arp2/3 complex-mediated actin nucleation [GO:0034314]; regulation of actin filament polymerization [GO:0030833]	GO:0003779; GO:0005634; GO:0005737; GO:0005885; GO:0030833; GO:0034314; GO:0035861; GO:0042995
Ab_contig_1102	O15989	2.41e-37	Arginine kinase (AK) (EC 2.7.3.3)	Turbo cornutus (Horned turban) (Battilus cornutus)	phosphocreatine biosynthetic process [GO:0046314]	GO:0004054; GO:0004111; GO:0005524; GO:0005615; GO:0046314
Ab_contig_1112	P80193	9.41e-38	Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)	Pseudomonas sp. (strain AK-1)	carnitine biosynthetic process [GO:0045329]	GO:0005506; GO:0005737; GO:0008336; GO:0045329
Ab_contig_1143	O75439	8.35e-64	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	mitochondrial calcium ion transmembrane transport [GO:0006851]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	GO:0004222; GO:0005739; GO:0005759; GO:0006627; GO:0006851; GO:0017087; GO:0046872
Ab_contig_1173	P56377	2.39e-48	AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin)	Homo sapiens (Human)	intracellular protein transport [GO:0006886]; melanosome assembly [GO:1903232]; platelet dense granule organization [GO:0060155]; vesicle-mediated transport [GO:0016192]	GO:0000139; GO:0005765; GO:0005769; GO:0005794; GO:0005829; GO:0005905; GO:0006886; GO:0016192; GO:0030119; GO:0030121; GO:0030659; GO:0032588; GO:0035615; GO:0043231; GO:0060155; GO:1903232
Ab_contig_1176	P50429	7.03e-22	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Mus musculus (Mouse)	anterior head development [GO:0097065]; chondroitin sulfate catabolic process [GO:0030207]; colon epithelial cell migration [GO:0061580]; dermatan sulfate catabolic process [GO:0030209]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]	GO:0003943; GO:0004065; GO:0005764; GO:0009986; GO:0010632; GO:0010976; GO:0030207; GO:0030209; GO:0043890; GO:0046872; GO:0061580; GO:0097065
Ab_contig_1186	P50656	4.72e-29	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Anas platyrhynchos (Mallard) (Anas boschas)	electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	GO:0004129; GO:0005743; GO:0006123; GO:0015990; GO:0020037; GO:0045277; GO:0046872
Ab_contig_1196	P62311	2.64e-27	U6 snRNA-associated Sm-like protein LSm3	Mus musculus (Mouse)	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0005634; GO:0030629; GO:0046540; GO:0071005; GO:0071013; GO:0120115
Ab_contig_1203	P49114	4.99e-66	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	Cavia porcellus (Guinea pig)	cellular response to oxidative stress [GO:0034599]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0004784; GO:0005759; GO:0006357; GO:0030145; GO:0034599
Ab_contig_1209	Q00945	2.65e-34	Conopressin/neurophysin [Cleaved into: Lys-conopressin G; Neurophysin]	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)		GO:0005185; GO:0005615; GO:0030141
Ab_contig_1221	P26225	1.02e-78	Endoglucanase B (EC 3.2.1.4) (Cellulase B) (Endo-1,4-beta-glucanase B)	Cellulomonas fimi	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_1226	Q9BZP6	8.81e-44	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Lung-specific protein TSA1902)	Homo sapiens (Human)	apoptotic process [GO:0006915]; chitin catabolic process [GO:0006032]; chitin metabolic process [GO:0006030]; immune system process [GO:0002376]; polysaccharide catabolic process [GO:0000272]; polysaccharide digestion [GO:0044245]; positive regulation of chemokine production [GO:0032722]; production of molecular mediator involved in inflammatory response [GO:0002532]	GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006030; GO:0006032; GO:0006915; GO:0008061; GO:0008843; GO:0019900; GO:0032722; GO:0044245
Ab_contig_1229	Q10751	4.04e-22	Angiotensin-converting enzyme (ACE) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II)	Gallus gallus (Chicken)	angiotensin maturation [GO:0002003]; bradykinin catabolic process [GO:0010815]; cell population proliferation [GO:0008283]; hormone catabolic process [GO:0042447]; hormone metabolic process [GO:0042445]; kidney development [GO:0001822]; positive regulation of systemic arterial blood pressure [GO:0003084]; primitive erythrocyte differentiation [GO:0060319]; regulation of blood pressure [GO:0008217]; regulation of synaptic plasticity [GO:0048167]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; substance P catabolic process [GO:0010814]	GO:0001822; GO:0002003; GO:0003081; GO:0003084; GO:0004180; GO:0004222; GO:0005737; GO:0005886; GO:0008217; GO:0008237; GO:0008241; GO:0008270; GO:0008283; GO:0010814; GO:0010815; GO:0016020; GO:0031404; GO:0042445; GO:0042447; GO:0048167; GO:0060319; GO:0070573
Ab_contig_1239	Q9VJ33	7.45e-31	Ubiquitin-like protein NEDD8 (Neddylin)	Drosophila melanogaster (Fruit fly)	cell population proliferation [GO:0008283]; female germ-line stem cell population maintenance [GO:0036099]; modification-dependent protein catabolic process [GO:0019941]; negative regulation of smoothened signaling pathway [GO:0045879]; protein neddylation [GO:0045116]; regulation of protein stability [GO:0031647]; regulation of proteolysis [GO:0030162]; regulation of smoothened signaling pathway [GO:0008589]; regulation of stem cell differentiation [GO:2000736]; regulation of ubiquitin-protein transferase activity [GO:0051438]; sleep [GO:0030431]	GO:0005634; GO:0008283; GO:0008589; GO:0019941; GO:0030162; GO:0030431; GO:0031386; GO:0031625; GO:0031647; GO:0036099; GO:0045116; GO:0045879; GO:0051438; GO:2000736
Ab_contig_1243	Q36421	8.37e-72	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Locusta migratoria (Migratory locust)	electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	GO:0004129; GO:0005743; GO:0006123; GO:0015990; GO:0020037; GO:0045277; GO:0046872
Ab_contig_1248	P29120	9.78e-24	Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)	Homo sapiens (Human)	cell-cell signaling [GO:0007267]; insulin processing [GO:0030070]; neurogenesis [GO:0022008]; pancreas development [GO:0031016]; peptide biosynthetic process [GO:0043043]; peptide hormone processing [GO:0016486]; pituitary gland development [GO:0021983]; positive regulation of protein secretion [GO:0050714]; protein autoprocessing [GO:0016540]; proteolysis [GO:0006508]; response to axon injury [GO:0048678]; response to calcium ion [GO:0051592]; response to chlorate [GO:0010157]; response to fatty acid [GO:0070542]; response to glucocorticoid [GO:0051384]; response to glucose [GO:0009749]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]; response to nutrient levels [GO:0031667]; response to peptide hormone [GO:0043434]; response to xenobiotic stimulus [GO:0009410]	GO:0004252; GO:0005615; GO:0005802; GO:0006508; GO:0007267; GO:0009410; GO:0009749; GO:0010157; GO:0016020; GO:0016486; GO:0016540; GO:0021983; GO:0022008; GO:0030070; GO:0030133; GO:0030425; GO:0031016; GO:0031667; GO:0032496; GO:0034774; GO:0042802; GO:0043005; GO:0043043; GO:0043204; GO:0043434; GO:0043679; GO:0048471; GO:0048678; GO:0050714; GO:0051384; GO:0051592; GO:0070542; GO:0070555
Ab_contig_1249	Q78P75	8.65e-47	Dynein light chain 2, cytoplasmic (Dynein light chain LC8-type 2)	Rattus norvegicus (Rat)	microtubule-based process [GO:0007017]	GO:0005737; GO:0005813; GO:0005856; GO:0005868; GO:0005874; GO:0007017; GO:0014069; GO:0031475; GO:0042802; GO:0044877; GO:0045505; GO:0097110; GO:0097731; GO:0098794; GO:0098978
Ab_contig_1250	Q9TU53	8e-23	Cubilin	Canis lupus familiaris (Dog) (Canis familiaris)	cholesterol metabolic process [GO:0008203]; protein transport [GO:0015031]	GO:0005509; GO:0005765; GO:0005768; GO:0005905; GO:0008203; GO:0015031; GO:0016324; GO:0031419; GO:0031526; GO:0043235
Ab_contig_1271	P09848	1.06e-33	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1271	P09848	2.19e-31	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1271	P09848	6.1e-30	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1274	P42028	2.39e-22	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	Bos taurus (Bovine)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	GO:0005743; GO:0006120; GO:0008137; GO:0032981; GO:0045271; GO:0046872; GO:0051539
Ab_contig_1292	P62262	1.83e-25	14-3-3 protein epsilon (14-3-3E) (Protein kinase C inhibitor protein 1) (KCIP-1)	Ovis aries (Sheep)	cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; cytoplasmic sequestering of protein [GO:0051220]; hippocampus development [GO:0021766]; MAPK cascade [GO:0000165]; negative regulation of calcium ion export across plasma membrane [GO:1905913]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; neuron migration [GO:0001764]; positive regulation of hippo signaling [GO:0035332]; positive regulation of protein export from nucleus [GO:0046827]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to nucleus [GO:0034504]; protein targeting [GO:0006605]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of membrane repolarization [GO:0060306]; regulation of potassium ion transmembrane transport [GO:1901379]	GO:0000165; GO:0001764; GO:0002753; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0005886; GO:0006605; GO:0015459; GO:0019855; GO:0019903; GO:0019904; GO:0021766; GO:0021987; GO:0031625; GO:0034122; GO:0034504; GO:0034605; GO:0035332; GO:0035591; GO:0042470; GO:0042802; GO:0042826; GO:0044325; GO:0046827; GO:0046982; GO:0050815; GO:0051220; GO:0051480; GO:0060306; GO:0070972; GO:0097110; GO:0140311; GO:1901379; GO:1905913
Ab_contig_1308	Q8VCN5	1.33e-28	Cystathionine gamma-lyase (CGL) (CSE) (EC 4.4.1.1) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase) (EC 4.4.1.2)	Mus musculus (Mouse)	cellular response to leukemia inhibitory factor [GO:1990830]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process via cystathionine [GO:0019343]; hydrogen sulfide biosynthetic process [GO:0070814]; lipid metabolic process [GO:0006629]; negative regulation of apoptotic process [GO:0043066]; negative regulation of apoptotic signaling pathway [GO:2001234]; positive regulation of aortic smooth muscle cell differentiation [GO:1904831]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein homotetramerization [GO:0051289]; protein sulfhydration [GO:0044524]; protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]; transsulfuration [GO:0019346]	GO:0004123; GO:0005516; GO:0005829; GO:0006629; GO:0018272; GO:0019343; GO:0019344; GO:0019346; GO:0030170; GO:0042802; GO:0043066; GO:0043123; GO:0044524; GO:0044540; GO:0047982; GO:0051092; GO:0051289; GO:0070814; GO:0080146; GO:0098606; GO:1904831; GO:1990830; GO:2001234
Ab_contig_1318	Q3T0F5	2.58e-23	Ras-related protein Rab-7a (EC 3.6.5.2)	Bos taurus (Bovine)	early endosome to late endosome transport [GO:0045022]; endosome to lysosome transport [GO:0008333]; endosome to plasma membrane protein transport [GO:0099638]; lipid catabolic process [GO:0016042]; lipophagy [GO:0061724]; phagosome acidification [GO:0090383]; phagosome-lysosome fusion [GO:0090385]	GO:0000421; GO:0003925; GO:0005525; GO:0005739; GO:0005764; GO:0005765; GO:0005770; GO:0005811; GO:0005829; GO:0008333; GO:0016042; GO:0030670; GO:0031902; GO:0031966; GO:0033162; GO:0045022; GO:0045335; GO:0061724; GO:0090383; GO:0090385; GO:0099638
Ab_contig_1345	O43181	4.54e-47	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; brain development [GO:0007420]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; regulation of protein phosphorylation [GO:0001932]; response to cAMP [GO:0051591]	GO:0001932; GO:0005739; GO:0005743; GO:0006120; GO:0007420; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0045271; GO:0051591; GO:0072593
Ab_contig_1354	O73817	2.57e-47	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
Ab_contig_1355	Q9HAT2	2.34e-31	Sialate O-acetylesterase (SIAE) (EC 3.1.1.53) (H-Lse) (Sialic acid-specific 9-O-acetylesterase)	Homo sapiens (Human)	carbohydrate metabolic process [GO:0005975]; regulation of immune system process [GO:0002682]	GO:0001681; GO:0002682; GO:0005615; GO:0005764; GO:0005975; GO:0070062; GO:0106330
Ab_contig_1365	Q7ZTY4	8.98e-50	Histone-binding protein RBBP7 (Retinoblastoma-binding protein 7) (RBBP-7)	Danio rerio (Zebrafish) (Brachydanio rerio)	chromatin remodeling [GO:0006338]; DNA replication [GO:0006260]; fin regeneration [GO:0031101]; hematopoietic progenitor cell differentiation [GO:0002244]; regulation of DNA-templated transcription [GO:0006355]	GO:0002244; GO:0005634; GO:0006260; GO:0006338; GO:0006355; GO:0016581; GO:0031101; GO:0035098; GO:0042393
Ab_contig_1367	P60517	1.91e-54	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein)	Rattus norvegicus (Rat)	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; cellular response to nitrogen starvation [GO:0006995]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; microtubule cytoskeleton organization [GO:0000226]; mitophagy [GO:0000423]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; protein transport [GO:0015031]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Rac protein signal transduction [GO:0035020]	GO:0000045; GO:0000139; GO:0000226; GO:0000421; GO:0000423; GO:0005764; GO:0005776; GO:0005790; GO:0005794; GO:0005874; GO:0005875; GO:0005886; GO:0005930; GO:0006995; GO:0008017; GO:0008429; GO:0008625; GO:0015031; GO:0015629; GO:0031410; GO:0031625; GO:0032436; GO:0035020; GO:0044297; GO:0048471; GO:0048487; GO:0050811; GO:0097225; GO:0097352; GO:0098696; GO:0098982; GO:0099091; GO:1902524
Ab_contig_1379	P91778	1.01e-27	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pecten maximus (King scallop) (Pilgrim's clam)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005975; GO:0046872
Ab_contig_1384	P77735	1.73e-34	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)	Escherichia coli (strain K12)	isoprenoid biosynthetic process via mevalonate [GO:1902767]; thiamine metabolic process [GO:0006772]	GO:0005829; GO:0006772; GO:0016491; GO:1902767
Ab_contig_1396	P13060	1.65e-30	Eukaryotic translation elongation factor 2 (EC 3.6.5.-) (Elongation factor 2) (EF-2)	Drosophila melanogaster (Fruit fly)	translational elongation [GO:0006414]	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0043022; GO:1990904
Ab_contig_1407	Q3T084	1.65e-22	T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (CCT-zeta-2)	Bos taurus (Bovine)	protein folding [GO:0006457]	GO:0005524; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0140662
Ab_contig_1414	O73817	6.02e-51	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
Ab_contig_1417	Q94519	8.35e-34	Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (NADH-ubiquinone oxidoreductase acyl-carrier subunit)	Drosophila melanogaster (Fruit fly)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	GO:0000035; GO:0000036; GO:0005739; GO:0005743; GO:0006120; GO:0032981; GO:0045271; GO:0099128
Ab_contig_1418	P61917	8.73e-21	NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)	Pan troglodytes (Chimpanzee)	cholesterol efflux [GO:0033344]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; intracellular cholesterol transport [GO:0032367]	GO:0005615; GO:0005764; GO:0005783; GO:0008203; GO:0015485; GO:0030301; GO:0032367; GO:0033344
Ab_contig_1429	Q9WV92	3.05e-22	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	Mus musculus (Mouse)	apoptotic process [GO:0006915]; axon development [GO:0061564]; cortical actin cytoskeleton organization [GO:0030866]; cortical cytoskeleton organization [GO:0030865]; myelin maintenance [GO:0043217]; neuron projection morphogenesis [GO:0048812]; paranodal junction assembly [GO:0030913]; paranodal junction maintenance [GO:1990227]; protein localization to juxtaparanode region of axon [GO:0071205]; protein localization to paranode region of axon [GO:0002175]; protein localization to plasma membrane [GO:0072659]; regulation of cell shape [GO:0008360]	GO:0002175; GO:0003779; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0005911; GO:0006915; GO:0008360; GO:0014069; GO:0030865; GO:0030866; GO:0030913; GO:0033270; GO:0043217; GO:0044224; GO:0048812; GO:0061564; GO:0071205; GO:0072659; GO:0106006; GO:1990227
Ab_contig_1434	Q5RFH3	1.76e-50	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of apoptotic process [GO:0043066]; nucleoside triphosphate biosynthetic process [GO:0009142]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of transcription by RNA polymerase II [GO:0045944]; UTP biosynthetic process [GO:0006228]	GO:0000155; GO:0001726; GO:0003677; GO:0003713; GO:0004550; GO:0005524; GO:0005634; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0007229; GO:0009142; GO:0019003; GO:0030027; GO:0042802; GO:0043066; GO:0045618; GO:0045893; GO:0045944; GO:0046872; GO:0050679; GO:0051880; GO:0071944
Ab_contig_1440	Q9W3J5	1.14e-34	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	Drosophila melanogaster (Fruit fly)	phenylalanyl-tRNA aminoacylation [GO:0006432]	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0009328
